
Fitness evolution
-----------------

Simulation 1
0.92	0.92	0.66	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.66	0.66	0.66	0.92	0.84	0.92	0.0	0.92	0.92	0.92
0.92	0.92	0.66	0.84	0.92	0.92	0.92	0.92	0.64	0.0	0.92	0.92	0.92	0.64	0.92	0.92	0.92	0.92	0.92	0.92
0.8	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.64	0.92	0.84	0.92	0.92	0.92

Simulation 509
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.32	0.0	0.0	0.0
0.32	0.0	0.32	0.84	0.0	0.6	0.32	0.0	0.32	0.28	0.0	0.0	0.0	0.0	0.0	0.32	0.76	0.32	0.58	0.0
0.0	0.0	0.84	0.84	0.84	0.84	0.72	0.76	0.84	0.84	0.84	0.76	0.84	0.76	0.76	0.76	0.76	0.6	0.76	0.84
0.76	0.76	0.92	0.84	0.84	0.84	0.76	0.84	0.84	0.84	0.84	0.92	0.84	0.84	0.0	0.0	0.84	0.84	0.76	0.84
0.92	0.92	0.92	0.92	0.92	0.84	0.84	0.92	0.84	0.92	0.84	0.76	0.92	0.92	0.76	0.92	0.84	0.84	0.92	0.0
0.0	0.92	0.0	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.0	0.92	0.92	0.92	0.92	0.76
0.92	0.92	0.92	0.92	0.92	0.92	0.68	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.92
0.84	0.8	0.92	0.92	0.92	0.0	0.92	0.84	0.84	0.92	0.92	0.92	0.92	0.84	0.92	0.84	0.0	0.92	0.92	0.92
0.92	0.0	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.0	0.92
0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.66	0.92	0.92	0.84	0.8	0.92
0.0	0.92	0.84	0.92	0.92	0.92	0.84	0.92	0.0	0.0	0.92	0.92	0.0	0.92	0.0	0.92	0.92	0.92	0.92	0.92
0.92	0.0	0.92	0.0	0.92	0.92	0.92	0.84	0.0	0.92	0.92	0.92	0.84	0.0	0.92	0.92	0.92	0.92	0.8	0.92
0.0	0.92	0.0	0.0	0.92	0.0	0.84	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.76	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.8	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.88	0.92	0.92	0.92	0.84	0.92	0.76	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.92
0.92	0.92	0.92	0.88	0.92	0.88	0.76	0.92	0.92	0.8	0.84	0.84	0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.92
0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.0	0.92	0.92	0.84	0.92	0.92	0.92	0.0	0.0	0.88	0.84	0.92	0.84	0.84	0.92	0.92	0.92	0.0	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92

Simulation 510
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.52	0.52	0.0	0.0	0.52	0.0	0.0	0.52	0.56	0.0	0.52	0.0	0.76	0.52	0.0	0.6
0.56	0.56	0.76	0.48	0.56	0.0	0.76	0.0	0.56	0.76	0.0	0.76	0.6	0.0	0.6	0.52	0.52	0.56	0.0	0.0
0.76	0.76	0.0	0.0	0.0	0.76	0.76	0.76	0.76	0.76	0.76	0.68	0.76	0.76	0.76	0.76	0.76	0.76	0.52	0.68
0.72	0.84	0.76	0.76	0.84	0.0	0.76	0.68	0.76	0.0	0.76	0.84	0.76	0.68	0.84	0.68	0.76	0.0	0.0	0.84
0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.0	0.0	0.84	0.0	0.84	0.84	0.84	0.84	0.92	0.84
0.84	0.84	0.92	0.84	0.84	0.84	0.68	0.84	0.0	0.92	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.76	0.84	0.84
0.84	0.92	0.92	0.72	0.92	0.84	0.92	0.92	0.92	0.92	0.84	0.84	0.84	0.92	0.72	0.92	0.84	0.92	0.92	0.84
0.92	0.92	0.92	0.92	0.92	0.84	0.0	0.92	0.92	0.84	0.92	0.8	0.92	0.84	0.0	0.84	0.92	0.92	0.92	0.8
0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.8	0.92	0.92	0.92	0.92	0.0	0.0	0.92	0.92	0.92	0.84	0.84
0.0	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.62	0.92	0.92	0.92	0.0	0.84	0.84	0.92	0.92	0.92
0.92	0.84	0.62	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84
0.0	0.92	0.92	0.84	0.92	0.92	0.92	0.0	0.92	0.88	0.0	0.92	0.92	0.88	0.92	0.92	0.92	0.92	0.88	0.92
0.92	0.92	0.92	0.92	0.88	0.92	0.84	0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.0	0.88	0.92	0.92	0.92	0.92
0.92	0.0	0.92	0.0	0.92	0.92	0.84	0.0	0.92	0.92	0.0	0.92	0.0	0.84	0.92	0.92	0.92	0.0	0.92	0.84
0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0
0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.0	0.0	0.92	0.66	0.92	0.0	0.62

Simulation 511
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.2	0.0	0.0	0.0	0.0
0.0	0.54	0.2	0.32	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.2	0.2	0.0	0.0	0.2	0.32	0.0	0.32	0.24
0.84	0.6	0.32	0.54	0.54	0.84	0.24	0.2	0.32	0.6	0.2	0.32	0.4	0.0	0.84	0.84	0.32	0.32	0.24	0.0
0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.0	0.76	0.84	0.84	0.84	0.76	0.84
0.84	0.0	0.84	0.84	0.84	0.84	0.84	0.84	0.8	0.84	0.84	0.84	0.72	0.84	0.84	0.84	0.84	0.84	0.6	0.62
0.84	0.92	0.84	0.0	0.76	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.72	0.8	0.92	0.84	0.84
0.92	0.92	0.92	0.76	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.0	0.84	0.92	0.92	0.8	0.92	0.84
0.92	0.64	0.92	0.8	0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.84	0.84	0.92	0.84	0.68	0.92	0.8	0.92
0.84	0.92	0.92	0.84	0.92	0.0	0.92	0.92	0.8	0.84	0.92	0.0	0.92	0.92	0.84	0.92	0.0	0.0	0.88	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.0	0.92	0.92	0.92	0.0	0.92	0.92	0.84	0.92	0.92	0.0	0.0	0.84
0.92	0.8	0.92	0.92	0.92	0.66	0.8	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.0	0.92	0.92	0.92
0.64	0.66	0.92	0.92	0.92	0.0	0.0	0.8	0.92	0.0	0.92	0.92	0.92	0.0	0.92	0.0	0.92	0.92	0.92	0.92
0.92	0.92	0.0	0.92	0.92	0.92	0.66	0.84	0.92	0.92	0.92	0.92	0.92	0.0	0.0	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.0	0.84	0.92	0.92	0.76	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.8	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92
0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.88	0.92	0.0	0.92	0.0	0.8	0.8
0.92	0.8	0.92	0.92	0.92	0.92	0.92	0.92	0.8	0.92	0.88	0.92	0.0	0.96	0.52	0.0	0.92	0.92	0.92	0.92
0.92	0.6	0.64	0.92	0.92	0.92	0.88	0.0	0.96	0.84	0.84	0.68	0.0	0.92	0.92	0.92	0.92	0.92	0.0	0.0

Simulation 512
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0
0.2	0.58	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.52	0.0	0.0	0.0	0.0	0.52	0.0
0.52	0.52	0.58	0.84	0.84	0.52	0.6	0.58	0.58	0.46	0.72	0.84	0.52	0.72	0.58	0.52	0.58	0.58	0.2	0.58
0.84	0.58	0.84	0.84	0.0	0.84	0.84	0.84	0.84	0.58	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84
0.84	0.76	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.6	0.72	0.84	0.84	0.84	0.84	0.0	0.76	0.84
0.62	0.84	0.84	0.84	0.84	0.0	0.84	0.84	0.76	0.84	0.84	0.84	0.84	0.0	0.84	0.84	0.84	0.84	0.0	0.58
0.84	0.76	0.84	0.84	0.0	0.84	0.84	0.84	0.76	0.84	0.84	0.84	0.0	0.84	0.6	0.84	0.84	0.84	0.84	0.84
0.84	0.84	0.84	0.92	0.84	0.0	0.84	0.0	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.92	0.84	0.84	0.84	0.84
0.92	0.92	0.0	0.92	0.0	0.92	0.84	0.84	0.0	0.92	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.84	0.92	0.8
0.8	0.92	0.92	0.0	0.96	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.96	0.0	0.0
0.92	0.92	0.96	0.92	0.92	0.88	0.92	0.0	0.92	0.44	0.96	0.96	0.96	0.96	0.96	0.92	0.96	0.96	0.92	0.96
0.0	0.96	0.96	0.96	0.0	0.0	0.0	0.92	0.0	0.96	0.96	0.96	0.96	0.7	0.96	0.96	0.96	0.96	0.0	0.96
0.0	0.96	0.0	0.7	0.0	0.96	0.96	0.88	0.7	0.96	0.0	0.96	0.88	0.0	0.88	0.96	0.96	0.96	0.96	0.96
0.0	0.96	0.96	0.96	0.7	0.84	0.88	0.96	0.0	0.96	0.0	0.96	0.96	0.0	0.0	0.96	0.96	0.84	0.96	0.96
0.96	0.96	0.96	0.96	0.92	0.96	0.0	0.96	0.0	0.96	0.96	0.96	0.88	0.96	0.96	0.96	0.96	0.96	0.96	0.96
0.96	0.96	0.96	0.96	0.84	0.96	0.96	0.88	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.88	0.0	0.96	0.96
0.96	0.0	0.96	0.96	0.92	0.88	0.96	0.96	0.96	0.0	0.96	0.96	0.88	0.84	0.96	0.96	0.74	0.0	0.92	0.96
0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.88	0.96	0.0	0.0	0.0	0.96	0.96	0.0	0.96	0.96
0.96	0.96	0.92	0.6	0.96	0.96	0.96	0.96	0.96	0.0	0.96	0.68	0.96	0.96	0.96	0.88	0.96	0.88	0.92	0.96

Simulation 513
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0
0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.52	0.0	0.32	0.52	0.0	0.0	0.0	0.52	0.0
0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.0	0.52	0.52	0.0	0.52	0.0	0.52	0.52	0.52	0.52	0.52	0.52
0.6	0.52	0.52	0.56	0.0	0.0	0.0	0.48	0.52	0.6	0.52	0.0	0.52	0.52	0.52	0.52	0.52	0.52	0.6	0.52
0.6	0.48	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.68	0.6	0.6	0.6	0.6	0.6
0.6	0.6	0.6	0.68	0.68	0.6	0.6	0.0	0.52	0.6	0.6	0.6	0.6	0.6	0.6	0.68	0.6	0.6	0.6	0.6
0.68	0.0	0.0	0.68	0.68	0.68	0.6	0.68	0.68	0.6	0.56	0.6	0.68	0.0	0.68	0.0	0.68	0.72	0.72	0.68
0.72	0.72	0.0	0.6	0.72	0.0	0.72	0.88	0.68	0.72	0.72	0.0	0.68	0.0	0.72	0.72	0.68	0.88	0.72	0.68
0.88	0.88	0.88	0.72	0.92	0.72	0.88	0.72	0.0	0.8	0.0	0.72	0.88	0.88	0.0	0.64	0.88	0.88	0.0	0.72
0.88	0.88	0.92	0.88	0.8	0.88	0.84	0.88	0.92	0.92	0.92	0.84	0.0	0.92	0.88	0.88	0.64	0.88	0.88	0.0
0.92	0.92	0.92	0.92	0.92	0.78	0.92	0.0	0.92	0.92	0.88	0.92	0.92	0.88	0.92	0.92	0.92	0.92	0.92	0.0
0.84	0.0	0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.72	0.92	0.92	0.78	0.78	0.92	0.92	0.78	0.92	0.78	0.92
0.92	0.84	0.92	0.76	0.76	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92
0.92	0.92	0.88	0.88	0.0	0.92	0.8	0.92	0.92	0.92	0.68	0.92	0.92	0.92	0.92	0.92	0.68	0.68	0.92	0.92
0.92	0.92	0.84	1.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.8	0.92	0.92	0.92	0.92	0.92	1.0
1.0	0.92	1.0	0.0	1.0	0.78	0.88	1.0	1.0	0.92	0.92	1.0	0.92	0.0	0.92	0.0	0.92	1.0	1.0	1.0

Simulation 514
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.6	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.32
0.58	0.32	0.0	0.32	0.32	0.32	0.32	0.32	0.32	0.6	0.6	0.0	0.32	0.32	0.4	0.0	0.6	0.54	0.0	0.32
0.56	0.6	0.84	0.72	0.84	0.56	0.6	0.6	0.6	0.84	0.6	0.54	0.6	0.6	0.84	0.0	0.6	0.6	0.64	0.84
0.84	0.72	0.84	0.84	0.84	0.76	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.0	0.84	0.64	0.0	0.84	0.6	0.84
0.0	0.84	0.92	0.84	0.54	0.84	0.84	0.92	0.76	0.84	0.84	0.84	0.0	0.84	0.0	0.84	0.92	0.84	0.64	0.84
0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.84	0.92	0.0	0.8	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
0.52	0.92	0.92	0.92	0.92	0.44	0.92	0.92	0.92	0.92	0.52	0.92	0.92	0.68	0.92	0.92	0.92	0.92	0.92	0.84
0.88	0.0	0.92	0.92	0.92	0.84	0.92	0.92	0.6	0.92	0.92	0.92	0.88	0.92	0.92	0.92	0.0	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.68	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.88	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.84	0.84	0.68	0.84	0.92	0.92	0.76	0.92	0.92	0.92	0.64	0.92	0.8	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.88	0.84	0.92	0.0	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.6	0.92	0.92	0.84	0.92	0.92
0.92	0.92	0.92	0.92	0.64	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.84	0.92	0.68	0.88	0.92	0.92	0.92
0.92	0.92	0.92	0.84	0.0	0.92	0.8	0.64	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92
0.84	0.8	0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.0	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.88	0.92	0.84
0.92	0.88	0.92	0.0	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92

Simulation 515
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.32	0.84	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0
0.62	0.32	0.32	0.84	0.92	0.84	0.0	0.84	0.84	0.64	0.84	0.32	0.0	0.92	0.84	0.92	0.84	0.84	0.28	0.84
0.92	0.92	0.92	0.0	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.84	0.92	0.0	0.92	0.92	0.0	0.62	0.56	0.92
0.92	0.92	0.0	0.0	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.0	0.84	0.92	0.92	0.84	0.92	0.84	0.92	0.0
0.0	0.92	0.0	0.92	0.0	0.62	0.84	0.0	0.0	0.92	0.92	0.84	0.92	0.92	0.92	0.8	0.92	0.92	0.0	0.0
0.92	0.8	0.92	0.92	0.92	0.0	0.92	0.92	0.8	0.0	0.92	0.0	0.62	0.92	0.0	0.92	0.2	0.92	0.92	0.92
0.84	0.92	0.92	0.0	0.0	0.92	0.0	0.0	0.0	0.92	0.0	0.92	0.0	0.92	0.92	0.92	0.92	0.0	0.92	0.92
0.92	0.92	0.84	0.92	0.0	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.0	0.84	0.92	0.0
0.0	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.0	0.92	0.92	0.92	0.0	0.62	0.92	0.84	0.92	0.92	0.92	0.92
0.92	0.0	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.0	0.0	0.92	0.0	0.8	0.92	0.92	0.92	0.0	0.92	0.92	0.0	0.92	0.0	0.92	0.92	0.0	0.7	0.92
0.92	0.92	0.8	0.92	0.92	0.8	0.92	0.92	0.0	0.92	0.0	0.0	0.92	0.92	0.0	0.0	0.92	0.0	0.92	0.92
0.92	0.0	0.92	0.0	0.92	0.92	0.92	0.66	0.92	0.84	0.0	0.66	0.92	0.92	0.84	0.92	0.0	0.92	0.0	0.92
0.0	0.92	0.92	0.92	0.92	0.92	0.8	0.0	0.88	0.0	0.0	0.92	0.92	0.92	0.76	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.0	0.0	0.92	0.92	0.0	0.92	0.92	0.0	0.0	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.84	0.0	0.8	0.92	0.84	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.0	0.92	0.0
0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.84	0.92	0.92	0.84	0.92	0.72	0.84	0.84	0.92	0.92	0.92	0.0
0.0	0.92	0.92	0.92	0.92	0.8	0.0	0.92	0.92	0.92	0.8	0.92	0.92	0.92	0.92	0.0	0.92	0.0	0.92	0.92

Simulation 516
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.76	0.0	0.76	0.0	0.0	0.76	0.0	0.0
0.0	0.76	0.76	0.76	0.84	0.76	0.76	0.76	0.76	0.76	0.6	0.0	0.64	0.76	0.64	0.76	0.76	0.76	0.76	0.0
0.76	0.68	0.84	0.76	0.84	0.84	0.84	0.0	0.76	0.84	0.0	0.0	0.76	0.84	0.84	0.84	0.84	0.84	0.76	0.68
0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.92	0.84
0.8	0.0	0.8	0.92	0.84	0.92	0.84	0.92	0.0	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.92	0.84
0.0	0.0	0.66	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.0	0.92	0.92	0.0	0.92	0.92	0.0	0.92	0.92	0.92
0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92
0.8	0.92	0.92	0.92	0.92	0.54	0.92	0.92	0.0	0.92	0.92	0.92	0.0	0.84	0.0	0.92	0.92	0.92	0.84	0.92
0.92	0.92	0.64	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.0	0.92	0.92
0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.8	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.0	0.92	0.84	0.8	0.92	0.92	0.92	0.92	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.0	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.84	0.8	0.92	0.92
0.92	0.8	0.92	0.88	0.92	0.92	0.88	0.8	0.92	0.0	0.84	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0
0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.84	0.92	0.84	0.8	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92
0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.0	0.92	0.92	0.92	0.8	0.92	0.92	0.0	0.0	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.8	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92
0.0	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.0	0.92	0.92	0.88	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.84
0.0	0.92	0.92	0.92	0.0	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.88	0.92	0.92	0.92	0.84

Simulation 517
0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0
0.32	0.6	0.0	0.6	0.6	0.0	0.32	0.0	0.0	0.4	0.0	0.4	0.0	0.0	0.64	0.32	0.6	0.0	0.6	0.0
0.6	0.0	0.84	0.0	0.6	0.6	0.6	0.0	0.92	0.64	0.84	0.6	0.6	0.36	0.58	0.0	0.64	0.0	0.6	0.84
0.58	0.92	0.84	0.84	0.6	0.84	0.84	0.84	0.84	0.64	0.36	0.84	0.64	0.92	0.76	0.92	0.84	0.92	0.84	0.84
0.92	0.92	0.52	0.92	0.0	0.84	0.0	0.92	0.0	0.92	0.92	0.92	0.84	0.92	0.0	0.92	0.92	0.92	0.0	0.92
0.92	0.92	0.8	0.0	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.0	0.92	0.0	0.92	0.92	0.92
0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.88	0.92	0.84	0.92	0.0	0.92
0.0	0.84	0.92	0.92	0.0	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.0	0.92	0.0
0.8	0.0	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.8	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.0
0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.64	0.92	0.0	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.64	0.92	0.92
0.0	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0	0.92	0.92	0.92	0.92	0.92	0.0	0.88	0.84	0.92
0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.0	0.92	0.84	0.84	0.92	0.92	0.92
0.92	0.52	0.92	0.52	0.92	0.92	0.92	0.92	0.84	0.64	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.0
0.52	0.92	0.0	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.92	0.92	0.92	0.0
